market,ticker,sector,updated_at,ticker_norm
US,NVDA,반도체,2026-03-04 17:47:02,NVDA
US,AAPL,전화 및 소형 장치,2026-03-04 17:47:02,AAPL
US,MSFT,소프트웨어,2026-03-04 17:47:02,MSFT
US,AMZN,백화점,2026-03-04 17:47:02,AMZN
US,GOOGL,온라인 서비스,2026-03-04 17:47:02,GOOGL
US,META,온라인 서비스,2026-03-04 17:47:02,META
US,GOOG,온라인 서비스,2026-03-04 17:47:02,GOOG
US,AVGO,반도체,2026-03-04 17:47:02,AVGO
US,TSLA,자동차 및 트럭 제조,2026-03-04 17:47:02,TSLA
US,WMT,식품 소매 및 유통,2026-03-04 17:47:02,WMT
US,ASML,반도체 장비 및 테스트,2026-03-04 17:47:02,ASML
US,COST,할인점,2026-03-04 17:47:02,COST
US,MU,반도체,2026-03-04 17:47:02,MU
US,NFLX,온라인 서비스,2026-03-04 17:47:02,NFLX
US,PLTR,소프트웨어,2026-03-04 17:47:02,PLTR
US,CSCO,통신 및 네트워킹,2026-03-04 17:47:02,CSCO
US,AMD,반도체,2026-03-04 17:47:02,AMD
US,AMAT,반도체 장비 및 테스트,2026-03-04 17:47:02,AMAT
US,LRCX,반도체 장비 및 테스트,2026-03-04 17:47:02,LRCX
US,TMUS,무선 통신 서비스,2026-03-04 17:47:02,TMUS
US,LIN,상품 화학,2026-03-04 17:47:02,LIN
US,PEP,무알콜 음료,2026-03-04 17:47:02,PEP
US,INTC,반도체,2026-03-04 17:47:02,INTC
US,AMGN,제약,2026-03-04 17:47:02,AMGN
US,KLAC,반도체 장비 및 테스트,2026-03-04 17:47:02,KLAC
US,TXN,반도체,2026-03-04 17:47:02,TXN
US,GILD,제약,2026-03-04 17:47:02,GILD
US,ISRG,첨단 의료 장비 및 기술,2026-03-04 17:47:02,ISRG
US,ADI,반도체,2026-03-04 17:47:02,ADI
US,SHOP,온라인 서비스,2026-03-04 17:47:02,SHOP
US,HON,소비재 대기업,2026-03-04 17:47:02,HON
US,APP,소프트웨어,2026-03-04 17:47:02,APP
US,QCOM,반도체,2026-03-04 17:47:02,QCOM
US,PDD,온라인 서비스,2026-03-04 17:47:02,PDD
US,BKNG,여가 및 오락시설,2026-03-04 17:47:02,BKNG
US,ARM,반도체,2026-03-04 17:47:02,ARM
US,PANW,소프트웨어,2026-03-04 17:47:02,PANW
US,VRTX,제약,2026-03-04 17:47:02,VRTX
US,INTU,핀테크,2026-03-04 17:47:02,INTU
US,IBKR,투자 은행 및 중개 서비스,2026-03-04 17:47:02,IBKR
US,CEG,전력 유틸리티,2026-03-04 17:47:02,CEG
US,CME,"금융, 상품 시장 운영 및 서비스 제공",2026-03-04 17:47:02,CME
US,SNY,제약,2026-03-04 17:47:02,SNY
US,CMCSA,무선 통신 서비스,2026-03-04 17:47:02,CMCSA
US,ADBE,소프트웨어,2026-03-04 17:47:02,ADBE
US,SBUX,레스토랑 및 바,2026-03-04 17:47:02,SBUX
US,CRWD,소프트웨어,2026-03-04 17:47:02,CRWD
US,EQIX,특수 REITs,2026-03-04 17:47:02,EQIX
US,MAR,"호텔, 모텔 및 크루즈 라인",2026-03-04 17:47:02,MAR
US,ADP,IT 서비스 및 컨설팅,2026-03-04 17:47:02,ADP
US,MELI,온라인 서비스,2026-03-04 17:47:02,MELI
US,WDC,컴퓨터 하드웨어,2026-03-04 17:47:02,WDC
US,SNDK,컴퓨터 하드웨어,2026-03-04 17:47:02,SNDK
US,CDNS,소프트웨어,2026-03-04 17:47:02,CDNS
US,SNPS,소프트웨어,2026-03-04 17:47:02,SNPS
US,REGN,제약,2026-03-04 17:47:02,REGN
US,ABNB,온라인 서비스,2026-03-04 17:47:02,ABNB
US,CTAS,경영 지원 서비스,2026-03-04 17:47:02,CTAS
US,STX,컴퓨터 하드웨어,2026-03-04 17:47:02,STX
US,CSX,지상 화물 및 물류,2026-03-04 17:47:02,CSX
US,ORLY,"자동차 차량, 부품 및 서비스 소매",2026-03-04 17:47:02,ORLY
US,MNST,무알콜 음료,2026-03-04 17:47:02,MNST
US,DASH,온라인 서비스,2026-03-04 17:47:02,DASH
US,MDLZ,식품 가공,2026-03-04 17:47:02,MDLZ
US,NTES,온라인 서비스,2026-03-04 17:47:02,NTES
US,AEP,전력 유틸리티,2026-03-04 17:47:02,AEP
US,WBD,방송,2026-03-04 17:47:02,WBD
US,HOOD,핀테크,2026-03-04 17:47:02,HOOD
US,MRVL,반도체,2026-03-04 17:47:02,MRVL
US,ROST,의류 및 액세서리 소매,2026-03-04 17:47:02,ROST
US,PCAR,중장비 및 차량,2026-03-04 17:47:02,PCAR
US,BKR,오일 관련 서비스 및 장비,2026-03-04 17:47:02,BKR
US,FTNT,소프트웨어,2026-03-04 17:47:02,FTNT
US,MDLN,"의료 장비, 물품 및 유통",2026-03-04 17:47:02,MDLN
US,NXPI,반도체,2026-03-04 17:47:02,NXPI
US,ADSK,소프트웨어,2026-03-04 17:47:02,ADSK
US,FAST,산업용 기계 및 장비,2026-03-04 17:47:02,FAST
US,MPWR,반도체,2026-03-04 17:47:02,MPWR
US,XEL,전력 유틸리티,2026-03-04 17:47:02,XEL
US,IDXX,"의료 장비, 물품 및 유통",2026-03-04 17:47:02,IDXX
US,FER,건설 및 엔지니어링,2026-03-04 17:47:02,FER
US,EA,소프트웨어,2026-03-04 17:47:02,EA
US,EXC,전력 유틸리티,2026-03-04 17:47:02,EXC
US,FANG,"오일, 가스 탐사 및 생산",2026-03-04 17:47:02,FANG
US,NDAQ,"금융, 상품 시장 운영 및 서비스 제공",2026-03-04 17:47:02,NDAQ
US,LITE,통신 및 네트워킹,2026-03-04 17:47:02,LITE
US,COIN,블록 체인 및 암호화폐,2026-03-04 17:47:02,COIN
US,TER,반도체 장비 및 테스트,2026-03-04 17:47:02,TER
US,CCEP,무알콜 음료,2026-03-04 17:47:02,CCEP
US,TRI,전문 정보 서비스,2026-03-04 17:47:02,TRI
US,AXON,항공우주 및 방위,2026-03-04 17:47:02,AXON
US,ARGX,생명 공학 및 의학 연구,2026-03-04 17:47:02,ARGX
US,FITB,은행,2026-03-04 17:47:02,FITB
US,ODFL,지상 화물 및 물류,2026-03-04 17:47:02,ODFL
US,PYPL,경영 지원 서비스,2026-03-04 17:47:02,PYPL
US,ALNY,제약,2026-03-04 17:47:02,ALNY
US,MSTR,소프트웨어,2026-03-04 17:47:02,MSTR
US,JD,백화점,2026-03-04 17:47:02,JD
US,BIDU,온라인 서비스,2026-03-04 17:47:02,BIDU
US,TTWO,소프트웨어,2026-03-04 17:47:02,TTWO
US,KDP,무알콜 음료,2026-03-04 17:47:02,KDP
US,EBAY,온라인 서비스,2026-03-04 17:47:02,EBAY
US,RKLB,항공우주 및 방위,2026-03-04 17:47:02,RKLB
US,DDOG,소프트웨어,2026-03-04 17:47:02,DDOG
US,CRWV,IT 서비스 및 컨설팅,2026-03-04 17:47:02,CRWV
US,MCHP,반도체,2026-03-04 17:47:02,MCHP
US,ESLT,항공우주 및 방위,2026-03-04 17:47:02,ESLT
US,WDAY,소프트웨어,2026-03-04 17:47:02,WDAY
US,CPRT,온라인 서비스,2026-03-04 17:47:02,CPRT
US,ROP,소프트웨어,2026-03-04 17:47:02,ROP
